native_pin,mdl_yr,mfg_dt,eph_decal_model_nm,end_cptr_dt,max_Total.Separator.Hours,end_engn_hours_Total.Separator.Hours,Mid_Latitude,Mid_Longitude,Header.Width, City,State,Country
1H0S660SAC078f678115,2012,4/27/2012,S660,10/24/2025,3033.0999,4805.05,53.1,70.7,9.143999,,Akmola,Kazakhstan
1H0S670SAF0775332,2015,1/15/2015,S670,12/11/2025,3522.35,4676.4,-24.1,148.1,,Springsure,Queensland,Australia
1J0S670BJH0120128,2017,4/11/2017,S670,10/2/2025,3829.3,5279.75,-32.8,-63.9,,General Cabrera,Córdoba,Argentina
1CQS660ATE0090207,2014,9/11/2014,S660,12/4/2025,3167.5,4995.7,-25.1,-50.7,6.5,,Paraná,Brazil
1J0S550BAE0090006,2014,2/2/2015,S550,12/4/2025,5540.4,8444.15,-35.2,-63.6,6.76,Intendente Alvear,La Pampa,Argentina
1Z0S660AJGP137e119c0,2016,2/17/2016,S660,12/11/2025,4478.65,7642.75,41.5,-0.5,4.5,Pina de Ebro,Zaragoza,Spain
1H0S690STC0745830,2012,6/5/2012,S690,12/9/2025,3008.85,4251.5,48.4,-100,12.192,Rugby,North Dakota,United States
1CQS660AHH0120256,2017,7/24/2017,S660,12/11/2025,3263.15,5214.85,-24.7,-57.2,9.144,Villa del Rosario,San Pedro,Paraguay
1H0S680SAC0759deb2d4,2012,7/9/2012,S680,10/30/2025,3164.95,4850.25,54.4,68.6,7.62,,North Kazakhstan,Kazakhstan
1J0S670BTH0120108,2017,3/15/2017,S670,12/11/2025,5950.5,7919.65,-27.6,-61.5,12,Hermoso Campo,Chaco,Argentina
1J0S680BPF0110117,2015,9/17/2015,S680,12/11/2025,5000.45,6945.35,-33.6,-62.1,12,San Francisco de Santa Fe,Santa Fe,Argentina
1H0S670HCC075172cc41,2012,4/3/2012,S670H,8/21/2025,5431.2,8266.85,42.8,-4.7,,Santibáñez de la Peña,Palencia,Spain
1Z0S660AVHA1dc0c9935,2017,7/10/2017,S660,11/1/2025,3034.9,4716.05,51.8,68.9,9.143999,,Akmola,Kazakhstan
1H0S690SED0765185,2014,12/5/2013,S690,11/23/2025,3141.2,4800.65,45.9,-98.3,12.192,Hecla,South Dakota,United States
1H0S670SKC0748069,2012,9/4/2012,S670,12/6/2025,3806.25,5986.35,45.6,-93.6,,Princeton,Minnesota,United States
1H0S670SLD0755614,2013,1/10/2013,S670,11/18/2025,3558.55,5464.45,46.2,-96.5,10.363,Breckenridge,Minnesota,United States
1J0S670BVG0110197,2016,6/27/2016,S670,12/10/2025,3598.6,5433.25,-34.5,-60.6,12,Chacabuco,Buenos Aires Province,Argentina
1Z0S690ACHC106756,2017,5/31/2017,S690,12/8/2025,3611.95,5585.5,-37.8,143.3,12.2,Bradvale,Victoria,Australia
1H0S670SHD0756716,2013,4/18/2013,S670,12/11/2025,5038.75,2648.1,-28.8,24.8,10.6,Kimberley,Northern Cape,South Africa
1Z0T660BADL0f736161a,2013,10/1/2013,T660,12/11/2025,7699.5,11470.1,41.9,-0.3,5.76,Grañén,Huesca,Spain
1Z0W550ACBD0979c3ed8,2012,12/1/2011,W550,10/26/2025,3609.45,5792.15,0,0,9.143999,,,
1H0S690SKD0755343,2013,3/10/2013,S690,11/21/2025,3198.2,4389.95,48.4,-101.1,6.096,Deering,North Dakota,United States
1J0S670BCF0110133,2015,12/17/2015,S670,12/5/2025,4965.25,7438.8,-31.5,-63,,Arroyito,Córdoba,Argentina
1Z0T660BKEL0e9154180,2014,4/1/2014,T660,11/27/2025,3479.0999,5459.6,42.6,-3.1,7.4999995,Valluércanes,Burgos,Spain
1H0S660SPE0765398,2014,2/25/2014,S660,11/18/2025,3485.8,6273.25,25.7,-108.4,8.8,Guasave,Sinaloa,Mexico
1H0S670SEE0765905,2014,2/27/2014,S670,12/10/2025,3255.75,5282.4,38.3,-94.3,6.096,Butler,Missouri,United States
1J0S670BKF0090091,2015,6/1/2015,S670,12/11/2025,3014,4728,-33.7,-61.3,12,Labordeboy,Santa Fe,Argentina
1CQS680ACF0110368,2016,12/10/2015,S680,12/9/2025,3742.25,5168.95,-11.5,-45.6,9.35,Riachão das Neves,Bahia,Brazil
1H0S680SKF0776528,2015,7/24/2015,S680,11/28/2025,3002.85,4237.45,42.8,-88.3,6.096,Waterford,Wisconsin,United States
1J0S680BVF0110124,2015,9/30/2015,S680,11/25/2025,4440.65,5833.25,-34.4,-59.5,12,San Andrés de Giles,Buenos Aires Province,Argentina
